K	T	s
3	1	0.7068
4	1	0.8755
5	1	1.2088
6	1	1.6248
7	1	2.1285
8	1	2.7142
9	1	4.4719
10	1	4.1133
11	1	4.8971
12	1	5.7353
13	1	6.6885
14	1	7.6759
15	1	8.7101
3	2	0.3445
4	2	0.4777
5	2	0.6446
6	2	0.8703
7	2	1.1152
8	2	1.3903
9	2	1.7074
10	2	2.1454
11	2	2.5194
12	2	2.9367
13	2	3.4073
14	2	3.9298
15	2	4.4983
3	4	0.1910
4	4	0.2627
5	4	0.3915
6	4	0.4487
7	4	0.5698
8	4	0.7010
9	4	0.8824
10	4	1.1405
11	4	1.2764
12	4	1.4795
13	4	1.7415
14	4	2.1737
15	4	2.3036
3	8	0.2928
4	8	0.1532
5	8	0.2431
6	8	0.3880
7	8	0.3773
8	8	0.4088
9	8	0.7065
10	8	0.6776
11	8	0.6464
12	8	1.4557
13	8	1.6789
14	8	1.2223
15	8	2.2213
4	16	0.0790
5	16	0.3467
6	16	0.4031
7	16	0.1699
8	16	0.2772
9	16	0.7921
10	16	1.1223
11	16	0.4156
12	16	0.3836
13	16	0.4892
14	16	0.7066
15	16	0.6156
